player_id,player_name,position_group,race,race_source,confidence,notes
00-0032436,Jeff Driskel,QB,,,,
00-0005755,Jeff Garcia,QB,,,,
00-0005885,Jeff George,QB,,,,
00-0021334,Jeff Kelly,QB,,,,
00-0009868,Jeff Lewis,QB,,,,
00-0025538,Jeff Rowe,QB,,,,
00-0022765,Jeff Smoker,QB,,,,
00-0030024,Jeff Tuel,QB,,,,
00-0028370,Jerrod Johnson,QB,,,,
00-0020483,Jesse Palmer,QB,,,,
00-0006808,Jim Harbaugh,QB,,,,
00-0011276,Jim Miller,QB,,,,
00-0022744,Jim Sorgi,QB,,,,
00-0027659,Jimmy Clausen,QB,,,,
00-0031345,Jimmy Garoppolo,QB,,,,
00-0036442,Joe Burrow,QB,,,,
00-0032630,Joe Callahan,QB,,,,
00-0026158,Joe Flacco,QB,,,,
00-0005902,Joe Germaine,QB,,,,
00-0019579,Joe Hamilton,QB,,,,
00-0033027,Joe Licata,QB,,,,
00-0039398,Joe Milton III,QB,,,,
00-0027796,Joe Webb,QB,,,,
00-0032614,Joel Stave,QB,,,,
00-0021141,Joey Harrington,QB,,,,
00-0025427,John Beck,QB,,,,
00-0026277,John David Booty,QB,,,,
00-0005600,John Friesz,QB,,,,
00-0035161,John Lovett,QB,,,,
00-0022827,John Navarre,QB,,,,
00-0039723,John Paddock,QB,,,,
00-0026505,John Parker Wilson,QB,,,,
00-0027754,John Skelton,QB,,,,
00-0034899,John Wolford,QB,,,,
00-0031409,Johnny Manziel,QB,,,,
00-0009311,Jon Kitna,QB,,,,
00-0013338,Jonathan Quinn,QB,,,,
00-0036264,Jordan Love,QB,,,,
00-0025592,Jordan Palmer,QB,,,,
00-0035735,Jordan Ta'amu,QB,,,,
00-0039797,Jordan Travis,QB,,,,
00-0034857,Josh Allen,QB,,,,
00-0020486,Josh Booty,QB,,,,
00-0026993,Josh Freeman,QB,,,,
00-0022800,Josh Harris,QB,,,,
00-0020436,Josh Heupel,QB,,,,
00-0026300,Josh Johnson,QB,,,,
00-0035937,Josh Love,QB,,,,
00-0021206,Josh McCown,QB,,,,
00-0028446,Josh Portis,QB,,,,
00-0034343,Josh Rosen,QB,,,,
00-0032658,Josh Woodrum,QB,,,,
00-0033949,Joshua Dobbs,QB,,,,
00-0036945,Justin Fields,QB,,,,
00-0036355,Justin Herbert,QB,,,,
00-0036468,Kai Locksley,QB,,,,
00-0039577,Kedon Slovis,QB,,,,
00-0027131,Keith Null,QB,,,,
00-0030998,Keith Wenning,QB,,,,
00-0024264,Kellen Clemens,QB,,,,
00-0036946,Kellen Mond,QB,,,,
00-0029234,Kellen Moore,QB,,,,
00-0007576,Kelly Holcomb,QB,,,,
00-0022039,Ken Dorsey,QB,,,,
00-0036549,Kenji Bahar,QB,,,,
00-0038102,Kenny Pickett,QB,,,,
00-0006212,Kent Graham,QB,,,,
00-0003292,Kerry Collins,QB,,,,
00-0003819,Kevin Daft,QB,,,,
00-0036112,Kevin Davidson,QB,,,,
00-0032784,Kevin Hogan,QB,,,,
00-0025423,Kevin Kolb,QB,,,,
00-0026234,Kevin O'Connell,QB,,,,
00-0019278,Kevin Thompson,QB,,,,
00-0029604,Kirk Cousins,QB,,,,
00-0021822,Kirk Farmer,QB,,,,
00-0022027,Kliff Kingsbury,QB,,,,
00-0015700,Kordell Stewart,QB,,,,
00-0004229,Koy Detmer,QB,,,,
00-0034131,Kurt Benkert,QB,,,,
00-0021271,Kurt Kittner,QB,,,,
00-0017200,Kurt Warner,QB,,,,
00-0034577,Kyle Allen,QB,,,,
00-0022164,Kyle Boller,QB,,,,
00-0034369,Kyle Lauletta,QB,,,,
00-0023541,Kyle Orton,QB,,,,
00-0035163,Kyle Shurmur,QB,,,,
00-0033672,Kyle Sloter,QB,,,,
00-0036928,Kyle Trask,QB,,,,
00-0035228,Kyler Murray,QB,,,,
00-0034796,Lamar Jackson,QB,,,,
00-0030524,Landry Jones,QB,,,,
00-0023306,Lang Campbell,QB,,,,
00-0027804,Levi Brown,QB,,,,
00-0031260,Logan Thomas,QB,,,,
00-0034438,Logan Woodside,QB,,,,
00-0034737,Luis Perez,QB,,,,
00-0034412,Luke Falk,QB,,,,
00-0022864,Luke McCown,QB,,,,
00-0036972,Mac Jones,QB,,,,
00-0038911,Malik Cunningham,QB,,,,
00-0038128,Malik Willis,QB,,,,
00-0035077,Manny Wilkins,QB,,,,
00-0019599,Marc Bulger,QB,,,,
00-0032268,Marcus Mariota,QB,,,,
00-0023145,Marcus Randall,QB,,,,
00-0002110,Mark Brunell,QB,,,,
00-0007059,Mark Hartsell,QB,,,,
00-0014234,Mark Rypien,QB,,,,
00-0026898,Mark Sanchez,QB,,,,
00-0021720,Marquel Blackwell,QB,,,,
00-0020405,Marques Tuiasosopo,QB,,,,
00-0033071,Marquise Williams,QB,,,,
00-0034771,Mason Rudolph,QB,,,,
00-0030533,Matt Barkley,QB,,,,
00-0023662,Matt Cassel,QB,,,,
00-0038132,Matt Corral,QB,,,,
00-0026349,Matt Flynn,QB,,,,
00-0024824,Matt Gutierrez,QB,,,,
00-0007091,Matt Hasselbeck,QB,,,,
00-0024225,Matt Leinart,QB,,,,
00-0010206,Matt Lytle,QB,,,,
00-0022768,Matt Mauck,QB,,,,
00-0025708,Matt Moore,QB,,,,
00-0026143,Matt Ryan,QB,,,,
00-0022787,Matt Schaub,QB,,,,
00-0029151,Matt Simms,QB,,,,
00-0030419,Matthew McGloin,QB,,,,
00-0026498,Matthew Stafford,QB,,,,
00-0038637,Max Duggan,QB,,,,
00-0027347,Max Hall,QB,,,,
00-0032527,Max Wittek,QB,,,,
00-0028359,McLeod Bethel-Thompson,QB,,,,
00-0001272,Michael Bishop,QB,,,,
00-0039917,Michael Penix Jr.,QB,,,,
00-0039238,Michael Pratt,QB,,,,
00-0032901,Mike Bercovici,QB,,,,
00-0002930,Mike Cherry,QB,,,,
00-0030520,Mike Glennon,QB,,,,
