player_id,player_name,position_group,race,race_source,confidence,notes
00-0026196,Brian Brohm,QB,White,https://en.wikipedia.org/wiki/Brian_Brohm,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0006423,Brian Griese,QB,White,https://en.wikipedia.org/wiki/Brian_Griese,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0026625,Brian Hoyer,QB,White,https://en.wikipedia.org/wiki/Brian_Hoyer,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0036092,Brian Lewerke,QB,White,https://en.wikipedia.org/wiki/Brian_Lewerke,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0022101,Brian St. Pierre,QB,White,https://en.wikipedia.org/wiki/Brian_St._Pierre,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0023158,Brock Berlin,QB,White,https://en.wikipedia.org/wiki/Brock_Berlin,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0007834,Brock Huard,QB,White,https://en.wikipedia.org/wiki/Brock_Huard,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0029682,Brock Osweiler,QB,White,https://en.wikipedia.org/wiki/Brock_Osweiler,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0037834,Brock Purdy,QB,White,https://en.wikipedia.org/wiki/Brock_Purdy,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0024300,Brodie Croyle,QB,White,https://en.wikipedia.org/wiki/Brodie_Croyle,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0034697,Brogan Roback,QB,White,https://en.wikipedia.org/wiki/Brogan_Roback,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0022026,Brooks Bollinger,QB,White,https://en.wikipedia.org/wiki/Brooks_Bollinger,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0024408,Bruce Gradkowski,QB,White,https://en.wikipedia.org/wiki/Bruce_Gradkowski,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0035939,Bryce Perkins,QB,Black,https://en.wikipedia.org/wiki/Bryce_Perkins,Medium,Wikipedia metadata matched Black/African-American language.
00-0031568,Bryce Petty,QB,White,https://en.wikipedia.org/wiki/Bryce_Petty,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0039150,Bryce Young,QB,Black,https://en.wikipedia.org/wiki/Bryce_Young,Medium,Wikipedia metadata matched Black/African-American language.
00-0030673,Bryn Renner,QB,White,https://en.wikipedia.org/wiki/Bryn_Renner,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0001785,Bubby Brister,QB,White,https://en.wikipedia.org/wiki/Bubby_Brister,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0022177,Byron Leftwich,QB,Black,https://en.wikipedia.org/wiki/Byron_Leftwich,Medium,Wikipedia metadata matched Black/African-American language.
00-0033936,C.J. Beathard,QB,White,https://en.wikipedia.org/wiki/C._J._Beathard,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0039163,C.J. Stroud,QB,Black,https://en.wikipedia.org/wiki/C._J._Stroud,Medium,Wikipedia metadata matched Black/African-American language.
00-0011044,Cade McNown,QB,White,https://en.wikipedia.org/wiki/Cade_McNown,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0025970,Caleb Hanie,QB,White,https://en.wikipedia.org/wiki/Caleb_Hanie,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0039918,Caleb Williams,QB,Black,https://en.wikipedia.org/wiki/Caleb_Williams,Medium,Wikipedia metadata matched Black/African-American language.
00-0027939,Cam Newton,QB,Black,https://en.wikipedia.org/wiki/Cam_Newton,Medium,Wikipedia metadata matched Black/African-American language.
00-0033098,Cardale Jones,QB,Black,https://en.wikipedia.org/wiki/Cardale_Jones,Medium,Wikipedia metadata matched Black/African-American language.
00-0021429,Carson Palmer,QB,White,https://en.wikipedia.org/wiki/Carson_Palmer,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0037139,Carson Strong,QB,White,https://en.wikipedia.org/wiki/Carson_Strong,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0032950,Carson Wentz,QB,White,https://en.wikipedia.org/wiki/Carson_Wentz,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0039534,Carter Bradley,QB,White,https://en.wikipedia.org/wiki/Carter_Bradley,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0035812,Case Cookus,QB,White,https://en.wikipedia.org/wiki/Case_Cookus,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0028986,Case Keenum,QB,White,https://en.wikipedia.org/wiki/Case_Keenum,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0039657,Casey Bauman,QB,White,https://en.wikipedia.org/wiki/Casey_Bauman,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0022829,Casey Bramlet,QB,White,https://en.wikipedia.org/wiki/Casey_Bramlet,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0023739,Casey Printers,QB,Black,https://en.wikipedia.org/wiki/Casey_Printers,Medium,Wikipedia metadata matched Black/African-American language.
00-0026197,Chad Henne,QB,White,https://en.wikipedia.org/wiki/Chad_Henne,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0020562,Chad Hutchinson,QB,White,https://en.wikipedia.org/wiki/Chad_Hutchinson,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0034478,Chad Kanoff,QB,White,https://en.wikipedia.org/wiki/Chad_Kanoff,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0033597,Chad Kelly,QB,White,https://en.wikipedia.org/wiki/Chad_Kelly,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0019559,Chad Pennington,QB,White,https://en.wikipedia.org/wiki/Chad_Pennington,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0029554,Chandler Harnish,QB,White,https://en.wikipedia.org/wiki/Chandler_Harnish,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0000865,Charlie Batch,QB,Black,https://en.wikipedia.org/wiki/Charlie_Batch,Medium,Wikipedia metadata matched Black/African-American language.
00-0023502,Charlie Frye,QB,White,https://en.wikipedia.org/wiki/Charlie_Frye,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0024296,Charlie Whitehurst,QB,White,https://en.wikipedia.org/wiki/Charlie_Whitehurst,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0026544,Chase Daniel,QB,White,https://en.wikipedia.org/wiki/Chase_Daniel,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0037507,Chase Garbers,QB,White,https://en.wikipedia.org/wiki/Chase_Garbers,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0034291,Chase Litton,QB,White,https://en.wikipedia.org/wiki/Chase_Litton,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0002876,Chris Chandler,QB,White,https://en.wikipedia.org/wiki/Chris_Chandler_(American_football),Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0006410,Chris Greisen,QB,White,https://en.wikipedia.org/wiki/Chris_Greisen,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0037324,Chris Oladokun,QB,White,https://en.wikipedia.org/wiki/Chris_Oladokun,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0019709,Chris Redman,QB,White,https://en.wikipedia.org/wiki/Chris_Redman,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0022005,Chris Simms,QB,White,https://en.wikipedia.org/wiki/Chris_Simms,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0035752,Chris Streveler,QB,White,https://en.wikipedia.org/wiki/Chris_Streveler,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0020434,Chris Weinke,QB,White,https://en.wikipedia.org/wiki/Chris_Weinke,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0032953,Christian Hackenberg,QB,White,https://en.wikipedia.org/wiki/Christian_Hackenberg,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0027950,Christian Ponder,QB,White,https://en.wikipedia.org/wiki/Christian_Ponder,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0035283,Clayton Thorson,QB,White,https://en.wikipedia.org/wiki/Clayton_Thorson,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0038582,Clayton Tune,QB,White,https://en.wikipedia.org/wiki/Clayton_Tune,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0020565,Cleo Lemon,QB,Black,https://en.wikipedia.org/wiki/Cleo_Lemon,Medium,Wikipedia metadata matched Black/African-American language.
00-0019442,Clint Stoerner,QB,White,https://en.wikipedia.org/wiki/Clint_Stoerner,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0033104,Cody Kessler,QB,White,https://en.wikipedia.org/wiki/Cody_Kessler,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0022731,Cody Pickett,QB,White,https://en.wikipedia.org/wiki/Cody_Pickett,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0037165,Cole Kelley,QB,White,https://en.wikipedia.org/wiki/Cole_Kelley,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0027974,Colin Kaepernick,QB,Black,https://en.wikipedia.org/wiki/Colin_Kaepernick,Medium,Wikipedia metadata matched Black/African-American language.
00-0026326,Colt Brennan,QB,White,https://en.wikipedia.org/wiki/Colt_Brennan,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0027688,Colt McCoy,QB,White,https://en.wikipedia.org/wiki/Colt_McCoy,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
00-0032893,Connor Cook,QB,White,https://en.wikipedia.org/wiki/Connor_Cook,Low,No minority ethnicity markers detected in metadata. Provisional White classification; should be manually reviewed.
