name,full_team,team,year,games_in_season,num_games_injured,num_games_missing,injury_types,earliest_injury,latest_injury,head,shoulder,upper_torso,lower_torso,arm,hand,leg,foot,position_id,clean_name,nflverse_position_group,position_group,injury_burden
Ryan Mathews,Los Angeles Chargers,sdg,2011,16,6,2,foot thumb groin knee calf,4.0,16.0,0,0,0,0,0,1,3,1,RB,ryan mathews,RB,RB,8
Marcus McNeill,Los Angeles Chargers,sdg,2011,16,9,7,knee  neck,1.0,16.0,1,0,0,0,0,0,1,0,OL,marcus mcneill,OL,OL,16
Jonas Mouton,Los Angeles Chargers,sdg,2011,16,16,16,shoulder,1.0,16.0,0,1,0,0,0,0,0,0,,,,,32
Scott Mruczkowski,Los Angeles Chargers,sdg,2011,16,7,6,neck concussion,7.0,16.0,2,0,0,0,0,0,0,0,OL,scott mruczkowski,OL,OL,13
Shaun Phillips,Los Angeles Chargers,sdg,2011,16,9,4,foot head back,7.0,16.0,1,0,1,0,0,0,0,1,DEF,shaun phillips,LB,LB,13
Nick Polk,Los Angeles Chargers,sdg,2011,16,16,16,hand,1.0,16.0,0,0,0,0,0,1,0,0,,,,,32
Bob Sanders,Los Angeles Chargers,sdg,2011,16,14,14,knee,3.0,16.0,0,0,0,0,0,0,1,0,DEF,bob sanders,DB,DB,28
Takeo Spikes,Los Angeles Chargers,sdg,2011,16,4,0,arm concussion back,9.0,14.0,1,0,1,0,1,0,0,0,DEF,takeo spikes,LB,LB,4
Darrell Stuckey,Los Angeles Chargers,sdg,2011,16,5,2,groin thigh,7.0,14.0,0,0,0,0,0,0,2,0,DEF,darrell stuckey,DB,DB,7
Mike Tolbert,Los Angeles Chargers,sdg,2011,16,6,1,leg calf concussion hand hamstring hamstring,2.0,16.0,1,0,0,0,0,1,4,0,RB,mike tolbert,RB,RB,7
Louis Vasquez,Los Angeles Chargers,sdg,2011,16,4,2,ankle,10.0,13.0,0,0,0,0,0,0,0,1,OL,louis vasquez,OL,OL,6
Shareece Wright,Los Angeles Chargers,sdg,2011,16,1,1,leg,1.0,1.0,0,0,0,0,0,0,1,0,DEF,shareece wright,DB,DB,2
C.J. Ah You,Los Angeles Rams,ram,2011,16,5,3,wrist calf,2.0,9.0,0,0,0,0,0,1,1,0,DEF,cj ah you,DL,DL,8
Danario Alexander,Los Angeles Rams,ram,2011,16,6,5,hamstring,7.0,12.0,0,0,0,0,0,0,1,0,WR,danario alexander,WR,WR,11
Danny Amendola,Los Angeles Rams,ram,2011,16,15,15,elbow elbow triceps,2.0,16.0,0,0,0,0,3,0,0,0,WR,danny amendola,WR,WR,30
Tim Atchison,Los Angeles Rams,ram,2011,16,1,1,hamstring,3.0,3.0,0,0,0,0,0,0,1,0,DEF,tim atchison,DB,DB,2
Justin Bannan,Los Angeles Rams,ram,2011,16,2,1,shoulder,11.0,12.0,0,1,0,0,0,0,0,0,DEF,justin bannan,DL,DL,3
Ron Bartell,Los Angeles Rams,ram,2011,16,15,15,neck,2.0,16.0,1,0,0,0,0,0,0,0,DEF,ron bartell,DB,DB,30
Jacob Bell,Los Angeles Rams,ram,2011,16,5,4,hamstring knee,5.0,16.0,0,0,0,0,0,0,2,0,OL,jacob bell,OL,OL,9
Sam Bradford,Los Angeles Rams,ram,2011,16,11,6,hand finger toe ankle,2.0,16.0,0,0,0,0,0,2,0,2,QB,sam bradford,QB,QB,17
Chris Chamberlain,Los Angeles Rams,ram,2011,16,1,0,hamstring,12.0,12.0,0,0,0,0,0,0,1,0,DEF,chris chamberlain,LB,LB,1
Mark Clayton,Los Angeles Rams,ram,2011,16,15,14,knee,1.0,16.0,0,0,0,0,0,0,1,0,WR,mark clayton,WR,WR,29
Jermelle Cudjo,Los Angeles Rams,ram,2011,16,16,16,back,1.0,16.0,0,0,1,0,0,0,0,0,,,,,32
Dominique Curry,Los Angeles Rams,ram,2011,16,1,0,shoulder,12.0,12.0,0,1,0,0,0,0,0,0,WR,dominique curry,WR,WR,1
Craig Dahl,Los Angeles Rams,ram,2011,16,1,0,ankle,14.0,14.0,0,0,0,0,0,0,0,1,DEF,craig dahl,DB,DB,1
A.J. Feeley,Los Angeles Rams,ram,2011,16,4,4,thumb,13.0,16.0,0,0,0,0,0,1,0,0,QB,aj feeley,QB,QB,8
Bradley Fletcher,Los Angeles Rams,ram,2011,16,13,12,toe knee,2.0,16.0,0,0,0,0,0,0,1,1,DEF,bradley fletcher,DB,DB,25
Brandon Gibson,Los Angeles Rams,ram,2011,16,1,0,groin,10.0,10.0,0,0,0,0,0,0,1,0,WR,brandon gibson,WR,WR,1
Gary Gibson,Los Angeles Rams,ram,2011,16,1,0,hip,9.0,9.0,0,0,0,1,0,0,0,0,DEF,gary gibson,DL,DL,1
Josh Gordy,Los Angeles Rams,ram,2011,16,3,0,hip abdomen,14.0,16.0,0,0,1,1,0,0,0,0,DEF,josh gordy,DB,DB,3
James Hall,Los Angeles Rams,ram,2011,16,5,1,back  knee pectoral,1.0,15.0,0,0,2,0,0,0,1,0,DEF,james hall,DL,DL,6
Al Harris,Los Angeles Rams,ram,2011,16,7,7,knee,10.0,16.0,0,0,0,0,0,0,1,0,DEF,al harris,DB,DB,14
Michael Hoomanawanui,Los Angeles Rams,ram,2011,16,12,8,calf back concussion  knee,1.0,16.0,1,0,1,0,0,0,2,0,TE,michael hoomanawanui,TE,TE,20
Josh Hull,Los Angeles Rams,ram,2011,16,6,5,hamstring ankle,2.0,16.0,0,0,0,0,0,0,1,1,DEF,josh hull,LB,LB,11
Brian Jackson,Los Angeles Rams,ram,2011,16,11,11,knee undisclosed,6.0,16.0,0,0,0,0,0,0,1,0,DEF,brian jackson,DB,DB,22
Steven Jackson,Los Angeles Rams,ram,2011,16,4,1,quadriceps quadricep foot,2.0,9.0,0,0,0,0,0,0,2,1,RB,steven jackson,RB,RB,5
Marquis Johnson,Los Angeles Rams,ram,2011,16,6,6,spleen,11.0,16.0,0,0,1,0,0,0,0,0,DEF,marquis johnson,DB,DB,12
Donnie Jones,Los Angeles Rams,ram,2011,16,1,0,ankle,12.0,12.0,0,0,0,0,0,0,0,1,P,donnie jones,,,1
Bryan Kehl,Los Angeles Rams,ram,2011,16,3,2,ankle,8.0,10.0,0,0,0,0,0,0,0,1,DEF,bryan kehl,LB,LB,5
Lance Kendricks,Los Angeles Rams,ram,2011,16,3,1,foot concussion,9.0,11.0,1,0,0,0,0,0,0,1,TE,lance kendricks,TE,TE,4
Justin King,Los Angeles Rams,ram,2011,16,7,3,groin head ankle shoulder,7.0,15.0,1,1,0,0,0,0,1,1,DEF,justin king,DB,DB,10
James Laurinaitis,Los Angeles Rams,ram,2011,16,1,0,foot,11.0,11.0,0,0,0,0,0,0,0,1,DEF,james laurinaitis,LB,LB,1
Mark LeVoir,Los Angeles Rams,ram,2011,16,5,3,pectoral groin,11.0,15.0,0,0,1,0,0,0,1,0,OL,mark levoir,OL,OL,8
Ben Leber,Los Angeles Rams,ram,2011,16,1,0,groin,3.0,3.0,0,0,0,0,0,0,1,0,DEF,ben leber,LB,LB,1
Brandon Lloyd,Los Angeles Rams,ram,2011,16,1,0,illness,15.0,15.0,0,0,0,0,0,0,0,0,WR,brandon lloyd,WR,WR,1
Chris Long,Los Angeles Rams,ram,2011,16,6,0,ankle,11.0,16.0,0,0,0,0,0,0,0,1,DEF,chris long,DL,DL,6
Jake McQuaide,Los Angeles Rams,ram,2011,16,1,0,illness,5.0,5.0,0,0,0,0,0,0,0,0,OL,jake mcquaide,,OL,1
Brit Miller,Los Angeles Rams,ram,2011,16,5,4,hamstring knee,12.0,16.0,0,0,0,0,0,0,2,0,DEF,brit miller,RB,RB,9
Jerome Murphy,Los Angeles Rams,ram,2011,16,16,16,ankle,1.0,16.0,0,0,0,0,0,0,0,1,,,,,32
Jerious Norwood,Los Angeles Rams,ram,2011,16,5,4,illness hamstring,7.0,16.0,0,0,0,0,0,0,1,0,RB,jerious norwood,RB,RB,9
Austin Pettis,Los Angeles Rams,ram,2011,16,1,0,knee,11.0,11.0,0,0,0,0,0,0,1,0,WR,austin pettis,WR,WR,1
Brady Poppinga,Los Angeles Rams,ram,2011,16,3,1,calf illness,7.0,16.0,0,0,0,0,0,0,1,0,DEF,brady poppinga,LB,LB,4
Quinn Porter,Los Angeles Rams,ram,2011,16,3,2,abdomen,13.0,15.0,0,0,1,0,0,0,0,0,RB,quinn porter,RB,RB,5
Fred Robbins,Los Angeles Rams,ram,2011,16,2,1,back,13.0,14.0,0,0,1,0,0,0,0,0,DEF,fred robbins,DL,DL,3
Rodger Saffold,Los Angeles Rams,ram,2011,16,9,7,ankle illness head pectoral,6.0,16.0,1,0,1,0,0,0,0,1,OL,rodger saffold,OL,OL,16
Greg Salas,Los Angeles Rams,ram,2011,16,10,9,ribs ankle fibula,3.0,16.0,0,0,1,0,0,0,1,1,WR,greg salas,WR,WR,19
Darell Scott,Los Angeles Rams,ram,2011,16,5,2,thumb head,4.0,9.0,1,0,0,0,0,1,0,0,DEF,darell scott,DL,DL,7
Eugene Sims,Los Angeles Rams,ram,2011,16,6,0,oblique  illness shoulder ankle,1.0,14.0,0,1,1,0,0,0,0,1,DEF,eugene sims,DL,DL,6
Jason Smith,Los Angeles Rams,ram,2011,16,11,10,ankle neck head concussion,2.0,16.0,3,0,0,0,0,0,0,1,OL,jason smith,OL,OL,21
Stephen Spach,Los Angeles Rams,ram,2011,16,1,0,concussion,14.0,14.0,1,0,0,0,0,0,0,0,TE,stephen spach,TE,TE,1
Darian Stewart,Los Angeles Rams,ram,2011,16,4,1,ankle neck head,9.0,13.0,2,0,0,0,0,0,0,1,DEF,darian stewart,DB,DB,5
Cadillac Williams,Los Angeles Rams,ram,2011,16,4,3,hamstring calf,3.0,11.0,0,0,0,0,0,0,2,0,RB,cadillac williams,,RB,7
Tony Wragge,Los Angeles Rams,ram,2011,16,1,0,knee,8.0,8.0,0,0,0,0,0,0,1,0,OL,tony wragge,OL,OL,1
Will Allen,Miami Dolphins,mia,2011,16,3,0,hamstring wrist,3.0,15.0,0,0,0,0,0,1,1,0,DEF,will allen,DB,DB,3
Allen Barbre,Miami Dolphins,mia,2011,16,16,13,undisclosed,1.0,16.0,0,0,0,0,0,0,0,0,,,,,29
Yeremiah Bell,Miami Dolphins,mia,2011,16,4,0,toe foot,8.0,14.0,0,0,0,0,0,0,0,2,DEF,yeremiah bell,DB,DB,4
Reggie Bush,Miami Dolphins,mia,2011,16,4,1,groin neck knee,3.0,16.0,1,0,0,0,0,0,2,0,RB,reggie bush,RB,RB,5
Vernon Carey,Miami Dolphins,mia,2011,16,4,1,shoulder ankle foot,4.0,14.0,0,1,0,0,0,0,0,2,OL,vernon carey,OL,OL,5
Dan Carpenter,Miami Dolphins,mia,2011,16,3,2,groin,10.0,12.0,0,0,0,0,0,0,1,0,K,dan carpenter,,,5
Nolan Carroll,Miami Dolphins,mia,2011,16,5,1,hamstring,5.0,10.0,0,0,0,0,0,0,1,0,DEF,nolan carroll,DB,DB,6
Charles Clay,Miami Dolphins,mia,2011,16,3,2,hamstring,1.0,3.0,0,0,0,0,0,0,1,0,TE,charles clay,RB,RB,5
Chris Clemons,Miami Dolphins,mia,2011,16,5,2,hamstring,2.0,7.0,0,0,0,0,0,0,1,0,DEF,chris clemons,DB,DB,7
Marc Colombo,Miami Dolphins,mia,2011,16,3,0,knee ankle,7.0,16.0,0,0,0,0,0,0,1,1,OL,marc colombo,OL,OL,3
Ryan Cook,Miami Dolphins,mia,2011,16,0,0,,,,0,0,0,0,0,0,0,0,OL,ryan cook,OL,OL,0
Karlos Dansby,Miami Dolphins,mia,2011,16,1,0,groin,3.0,3.0,0,0,0,0,0,0,1,0,DEF,karlos dansby,LB,LB,1
Vontae Davis,Miami Dolphins,mia,2011,16,9,4,hamstring hamstring disciplinary neck elbow,3.0,16.0,1,0,0,0,1,0,2,0,DEF,vontae davis,DB,DB,13
Anthony Fasano,Miami Dolphins,mia,2011,16,4,1,ankle ribs concussion,10.0,16.0,1,0,1,0,0,0,0,1,TE,anthony fasano,TE,TE,5
Clyde Gates,Miami Dolphins,mia,2011,16,4,1,groin,7.0,16.0,0,0,0,0,0,0,1,0,WR,clyde gates,,WR,5
Chad Henne,Miami Dolphins,mia,2011,16,12,12,shoulder,5.0,16.0,0,1,0,0,0,0,0,0,QB,chad henne,QB,QB,24
Richie Incognito,Miami Dolphins,mia,2011,16,2,1,ankle,7.0,8.0,0,0,0,0,0,0,0,1,OL,richie incognito,OL,OL,3
Reshad Jones,Miami Dolphins,mia,2011,16,2,1,knee,6.0,7.0,0,0,0,0,0,0,1,0,DEF,reshad jones,DB,DB,3
Kendall Langford,Miami Dolphins,mia,2011,16,2,0,hip hips,7.0,8.0,0,0,0,2,0,0,0,0,DEF,kendall langford,DL,DL,2
Jake Long,Miami Dolphins,mia,2011,16,3,2,back biceps,14.0,16.0,0,0,1,0,1,0,0,0,OL,jake long,OL,OL,5
Brandon Marshall,Miami Dolphins,mia,2011,16,5,0,knee groin quadricep,2.0,16.0,0,0,0,0,0,0,3,0,WR,brandon marshall,WR,WR,5
Tony McDaniel,Miami Dolphins,mia,2011,16,4,3,thumb,2.0,5.0,0,0,0,0,0,1,0,0,DEF,tony mcdaniel,DL,DL,7
Koa Misi,Miami Dolphins,mia,2011,16,5,4,neck shoulder,4.0,16.0,1,1,0,0,0,0,0,0,DEF,koa misi,LB,LB,9
Marlon Moore,Miami Dolphins,mia,2011,16,9,9,foot,8.0,16.0,0,0,0,0,0,0,0,1,WR,marlon moore,WR,WR,18
Matt Moore,Miami Dolphins,mia,2011,16,3,0,ribs head neck,7.0,14.0,2,0,1,0,0,0,0,0,QB,matt moore,QB,QB,3
Lydon Murtha,Miami Dolphins,mia,2011,16,16,16,undisclosed,1.0,16.0,0,0,0,0,0,0,0,0,,,,,32
Jared Odrick,Miami Dolphins,mia,2011,16,1,0,knee,7.0,7.0,0,0,0,0,0,0,1,0,DEF,jared odrick,DL,DL,1
Igor Olshansky,Miami Dolphins,mia,2011,16,1,1,calf,11.0,11.0,0,0,0,0,0,0,1,0,DEF,igor olshansky,DL,DL,2
Mike Pouncey,Miami Dolphins,mia,2011,16,1,0,neck,8.0,8.0,1,0,0,0,0,0,0,0,OL,mike pouncey,OL,OL,1
Sage Rosenfels,Miami Dolphins,mia,2011,16,1,1,illness,12.0,12.0,0,0,0,0,0,0,0,0,,,,,2
Jason Taylor,Miami Dolphins,mia,2011,16,2,0,ankle hip,2.0,8.0,0,0,0,1,0,0,0,1,DEF,jason taylor,LB,LB,2
Daniel Thomas,Miami Dolphins,mia,2011,16,8,3,hamstring  knee,1.0,16.0,0,0,0,0,0,0,2,0,RB,daniel thomas,RB,RB,11
Cameron Wake,Miami Dolphins,mia,2011,16,1,0,hamstring,6.0,6.0,0,0,0,0,0,0,1,0,DEF,cameron wake,LB,LB,1
Roberto Wallace,Miami Dolphins,mia,2011,16,15,14,quadricep quadriceps,2.0,16.0,0,0,0,0,0,0,2,0,WR,roberto wallace,WR,WR,29
Jimmy Wilson,Miami Dolphins,mia,2011,16,1,1,hamstring,16.0,16.0,0,0,0,0,0,0,1,0,DEF,jimmy wilson,DB,DB,2
Will Yeatman,Miami Dolphins,mia,2011,16,2,2,shoulder,5.0,6.0,0,1,0,0,0,0,0,0,TE,will yeatman,TE,TE,4
Husain Abdullah,Minnesota Vikings,min,2011,16,10,7,pelvis concussion,5.0,16.0,1,0,0,1,0,0,0,0,DEF,husain abdullah,DB,DB,17
Asher Allen,Minnesota Vikings,min,2011,16,9,4,toe  shoulder head,1.0,16.0,1,1,0,0,0,0,0,1,DEF,asher allen,DB,DB,13
Jared Allen,Minnesota Vikings,min,2011,16,2,0,shoulder eye,3.0,6.0,1,1,0,0,0,0,0,0,DEF,jared allen,DL,DL,2
Adrian Awasom,Minnesota Vikings,min,2011,16,1,1,knee,2.0,2.0,0,0,0,0,0,0,1,0,DEF,adrian awasom,DL,DL,2
Remi Ayodele,Minnesota Vikings,min,2011,16,1,0,ankle,8.0,8.0,0,0,0,0,0,0,0,1,DEF,remi ayodele,DL,DL,1
Christian Ballard,Minnesota Vikings,min,2011,16,1,0,hamstring,11.0,11.0,0,0,0,0,0,0,1,0,DEF,christian ballard,DL,DL,1
Lorenzo Booker,Minnesota Vikings,min,2011,16,2,1,concussion,8.0,9.0,1,0,0,0,0,0,0,0,RB,lorenzo booker,RB,RB,3
Jasper Brinkley,Minnesota Vikings,min,2011,16,16,16,hip,1.0,16.0,0,0,0,1,0,0,0,0,,,,,32
Stephen Burton,Minnesota Vikings,min,2011,16,3,3,knee,14.0,16.0,0,0,0,0,0,0,1,0,WR,stephen burton,WR,WR,6
Greg Camarillo,Minnesota Vikings,min,2011,16,1,0,concussion,14.0,14.0,1,0,0,0,0,0,0,0,WR,greg camarillo,WR,WR,1
Chris Cook,Minnesota Vikings,min,2011,16,5,2,hamstring  groin disciplinary legal undisclosed,1.0,9.0,0,0,0,0,0,0,3,0,DEF,chris cook,DB,DB,7
Chad Greenway,Minnesota Vikings,min,2011,16,1,0,elbow,13.0,13.0,0,0,0,0,1,0,0,0,DEF,chad greenway,LB,LB,1
Everson Griffen,Minnesota Vikings,min,2011,16,1,0,quadriceps,13.0,13.0,0,0,0,0,0,0,1,0,DEF,everson griffen,DL,DL,1
Letroy Guion,Minnesota Vikings,min,2011,16,1,0,ankle,14.0,14.0,0,0,0,0,0,0,0,1,DEF,letroy guion,DL,DL,1
Percy Harvin,Minnesota Vikings,min,2011,16,6,0,ribs rib illness finger,6.0,13.0,0,0,2,0,0,1,0,0,WR,percy harvin,WR,WR,6
E.J. Henderson,Minnesota Vikings,min,2011,16,10,0,knee shoulder,2.0,14.0,0,1,0,0,0,0,1,0,DEF,ej henderson,LB,LB,10
Erin Henderson,Minnesota Vikings,min,2011,16,3,1,hamstring illness,10.0,15.0,0,0,0,0,0,0,1,0,DEF,erin henderson,LB,LB,4
Anthony Herrera,Minnesota Vikings,min,2011,16,8,4,knee back,8.0,16.0,0,0,1,0,0,0,1,0,OL,anthony herrera,OL,OL,12
Steve Hutchinson,Minnesota Vikings,min,2011,16,4,2,knee illness concussion,7.0,16.0,1,0,0,0,0,0,1,0,OL,steve hutchinson,OL,OL,6
Michael Jenkins,Minnesota Vikings,min,2011,16,8,5,groin knee,2.0,16.0,0,0,0,0,0,0,2,0,WR,michael jenkins,WR,WR,13
Charlie Johnson,Minnesota Vikings,min,2011,16,2,0,elbow achilles,5.0,11.0,0,0,0,0,1,0,0,1,OL,charlie johnson,OL,OL,2
Tyrell Johnson,Minnesota Vikings,min,2011,16,6,5,hip hamstring,4.0,16.0,0,0,0,1,0,0,1,0,DEF,tyrell johnson,DB,DB,11
Jim Kleinsasser,Minnesota Vikings,min,2011,16,1,0,elbow,4.0,4.0,0,0,0,0,1,0,0,0,TE,jim kleinsasser,TE,TE,1
Chris Kluwe,Minnesota Vikings,min,2011,16,1,0,hamstring,5.0,5.0,0,0,0,0,0,0,1,0,P,chris kluwe,,,1
Phil Loadholt,Minnesota Vikings,min,2011,16,2,0,knee illness,7.0,9.0,0,0,0,0,0,0,1,0,OL,phil loadholt,OL,OL,2
Cullen Loeffler,Minnesota Vikings,min,2011,16,6,5,shoulder back,10.0,16.0,0,1,1,0,0,0,0,0,OL,cullen loeffler,,OL,11
Donovan McNabb,Minnesota Vikings,min,2011,16,1,0,wrist,1.0,1.0,0,0,0,0,0,1,0,0,QB,donovan mcnabb,QB,QB,1
Kenny Onatolu,Minnesota Vikings,min,2011,16,2,0,hamstring,6.0,7.0,0,0,0,0,0,0,1,0,DEF,kenny onatolu,LB,LB,2
Jarrad Page,Minnesota Vikings,min,2011,16,2,0,hip hamstring,14.0,15.0,0,0,0,1,0,0,1,0,DEF,jarrad page,DB,DB,2
Adrian Peterson,Minnesota Vikings,min,2011,16,7,4,calf foot ankle knee,4.0,16.0,0,0,0,0,0,0,2,2,RB,adrian peterson,RB,RB,11
Christian Ponder,Minnesota Vikings,min,2011,16,5,0,hand knee hip concussion,10.0,16.0,1,0,0,1,0,1,1,0,QB,christian ponder,QB,QB,5
Brian Robison,Minnesota Vikings,min,2011,16,2,0,ahoulder concussion,8.0,13.0,1,0,0,0,0,0,0,0,DEF,brian robison,DL,DL,2
Kyle Rudolph,Minnesota Vikings,min,2011,16,2,1,quadricep,11.0,12.0,0,0,0,0,0,0,1,0,TE,kyle rudolph,TE,TE,3
Jamarca Sanford,Minnesota Vikings,min,2011,16,7,1,thigh knee concussion shoulder,4.0,16.0,1,1,0,0,0,0,2,0,DEF,jamarca sanford,DB,DB,8
Benny Sapp,Minnesota Vikings,min,2011,16,1,0,shoulder,16.0,16.0,0,1,0,0,0,0,0,0,DEF,benny sapp,DB,DB,1
Marcus Sherels,Minnesota Vikings,min,2011,16,1,0,chest,3.0,3.0,0,0,1,0,0,0,0,0,DEF,marcus sherels,DB,DB,1
Visanthe Shiancoe,Minnesota Vikings,min,2011,16,6,0,hamstring  foot hand,1.0,13.0,0,0,0,0,0,1,1,1,TE,visanthe shiancoe,TE,TE,6
Mickey Shuler,Minnesota Vikings,min,2011,16,1,1,ankle,16.0,16.0,0,0,0,0,0,0,0,1,,,,,2
John Sullivan,Minnesota Vikings,min,2011,16,3,1,ankle concussion,5.0,8.0,1,0,0,0,0,0,0,1,OL,john sullivan,OL,OL,4
Kevin Williams,Minnesota Vikings,min,2011,16,3,0,served foot foot knee,3.0,15.0,0,0,0,0,0,0,1,2,DEF,kevin williams,DL,DL,3
Antoine Winfield,Minnesota Vikings,min,2011,16,12,11,neck clavicle,5.0,16.0,1,1,0,0,0,0,0,0,DEF,antoine winfield,DB,DB,23
Mark Anderson,New England Patriots,nwe,2011,16,1,0,knee,1.0,1.0,0,0,0,0,0,0,1,0,DEF,mark anderson,DL,DL,1
Kyle Arrington,New England Patriots,nwe,2011,16,10,0,hip  concussion chest foot,1.0,16.0,1,0,1,1,0,0,0,1,DEF,kyle arrington,DB,DB,10
Josh Barrett,New England Patriots,nwe,2011,16,15,11,thumb thumb hamstring calf,2.0,16.0,0,0,0,0,0,2,2,0,DEF,josh barrett,DB,DB,26
Leigh Bodden,New England Patriots,nwe,2011,16,7,2,hand back groin thumb hip,1.0,7.0,0,0,1,1,0,2,1,0,DEF,leigh bodden,DB,DB,9
Ron Brace,New England Patriots,nwe,2011,16,7,7,shoulder,1.0,7.0,0,1,0,0,0,0,0,0,DEF,ron brace,DL,DL,14
Tom Brady,New England Patriots,nwe,2011,16,1,0,shoulder,16.0,16.0,0,1,0,0,0,0,0,0,QB,tom brady,QB,QB,1
Deion Branch,New England Patriots,nwe,2011,16,4,1,hip groin,11.0,16.0,0,0,0,1,0,0,1,0,WR,deion branch,WR,WR,5
Sergio Brown,New England Patriots,nwe,2011,16,2,1,chest,6.0,7.0,0,0,1,0,0,0,0,0,DEF,sergio brown,DB,DB,3
Marcus Cannon,New England Patriots,nwe,2011,16,0,0,,,,0,0,0,0,0,0,0,0,OL,marcus cannon,OL,OL,0
Andre Carter,New England Patriots,nwe,2011,16,2,2,quadriceps,15.0,16.0,0,0,0,0,0,0,1,0,DEF,andre carter,DL,DL,4
Patrick Chung,New England Patriots,nwe,2011,16,12,8,hand foot,3.0,16.0,0,0,0,0,0,1,0,1,DEF,patrick chung,DB,DB,20
Dan Connolly,New England Patriots,nwe,2011,16,7,3,foot  groin,1.0,16.0,0,0,0,0,0,0,1,1,OL,dan connolly,OL,OL,10
Jermaine Cunningham,New England Patriots,nwe,2011,16,6,5,groin  hamstring,1.0,16.0,0,0,0,0,0,0,2,0,DEF,jermaine cunningham,LB,LB,11
Brandon Deaderick,New England Patriots,nwe,2011,16,6,6,shoulder,1.0,6.0,0,1,0,0,0,0,0,0,DEF,brandon deaderick,DL,DL,12
Ras-I Dowling,New England Patriots,nwe,2011,16,14,14,thigh hip,3.0,16.0,0,0,0,1,0,0,1,0,DEF,ras i dowling,DB,DB,28
Julian Edelman,New England Patriots,nwe,2011,16,9,2,hand  ankle legal back,1.0,16.0,0,0,1,0,0,1,1,1,WR,julian edelman,WR,WR,11
Shaun Ellis,New England Patriots,nwe,2011,16,5,2,knee ribs rib,4.0,10.0,0,0,2,0,0,0,1,0,DEF,shaun ellis,DL,DL,7
Kevin Faulk,New England Patriots,nwe,2011,16,10,8,knee,1.0,11.0,0,0,0,0,0,0,1,0,RB,kevin faulk,RB,RB,18
Dane Fletcher,New England Patriots,nwe,2011,16,16,6,thumb thumb,1.0,16.0,0,0,0,0,0,2,0,0,DEF,dane fletcher,LB,LB,22
Vincent Fuller,New England Patriots,nwe,2011,16,1,1,forearm,15.0,15.0,1,0,0,0,1,0,0,0,,,,,2
BenJarvus Green-Ellis,New England Patriots,nwe,2011,16,6,0,toe illness,6.0,15.0,0,0,0,0,0,0,0,1,RB,benjarvus green ellis,RB,RB,6
Dan Gronkowski,New England Patriots,nwe,2011,16,2,1,hamstring,2.0,3.0,0,0,0,0,0,0,1,0,TE,dan gronkowski,TE,TE,3
Rob Gronkowski,New England Patriots,nwe,2011,16,1,0,hamstring,2.0,2.0,0,0,0,0,0,0,1,0,TE,rob gronkowski,TE,TE,1
Gary Guyton,New England Patriots,nwe,2011,16,8,2,hamstring shoulder,2.0,12.0,0,1,0,0,0,0,1,0,DEF,gary guyton,LB,LB,10
Albert Haynesworth,New England Patriots,nwe,2011,16,6,2,back,3.0,8.0,0,0,1,0,0,0,0,0,DEF,albert haynesworth,DL,DL,8
Aaron Hernandez,New England Patriots,nwe,2011,16,5,2,knee,3.0,8.0,0,0,0,0,0,0,1,0,TE,aaron hernandez,TE,TE,7
James Ihedigbo,New England Patriots,nwe,2011,16,7,0,shoulder,10.0,16.0,0,1,0,0,0,0,0,0,DEF,james ihedigbo,DB,DB,7
Chad Johnson,New England Patriots,nwe,2011,16,2,1,hamstring,11.0,12.0,0,0,0,0,0,0,1,0,WR,chad johnson,WR,WR,3
Dan Koppen,New England Patriots,nwe,2011,16,15,15,ankle ankle fibula,2.0,16.0,0,0,0,0,0,0,1,2,OL,dan koppen,OL,OL,30
Matt Light,New England Patriots,nwe,2011,16,4,1,knee ankle leg,11.0,16.0,0,0,0,0,0,0,2,1,OL,matt light,OL,OL,5
Kyle Love,New England Patriots,nwe,2011,16,2,0,ankle back,5.0,6.0,0,0,1,0,0,0,0,1,DEF,kyle love,DL,DL,2
Logan Mankins,New England Patriots,nwe,2011,16,2,1,illness knee,4.0,16.0,0,0,0,0,0,0,1,0,OL,logan mankins,OL,OL,3
Jerod Mayo,New England Patriots,nwe,2011,16,8,2,thigh knee,2.0,9.0,0,0,0,0,0,0,2,0,DEF,jerod mayo,LB,LB,10
Devin McCourty,New England Patriots,nwe,2011,16,7,2,shoulder,10.0,16.0,0,1,0,0,0,0,0,0,DEF,devin mccourty,DB,DB,9
Zoltan Mesko,New England Patriots,nwe,2011,16,2,0,knee,3.0,4.0,0,0,0,0,0,0,1,0,P,zoltan mesko,,,2
Antwaun Molden,New England Patriots,nwe,2011,16,1,0,concussion,12.0,12.0,1,0,0,0,0,0,0,0,DEF,antwaun molden,DB,DB,1
Rob Ninkovich,New England Patriots,nwe,2011,16,1,0,hip,16.0,16.0,0,0,0,1,0,0,0,0,DEF,rob ninkovich,LB,LB,1
Taylor Price,New England Patriots,nwe,2011,16,9,8,hamstring,1.0,12.0,0,0,0,0,0,0,1,0,WR,taylor price,WR,WR,17
Myron Pryor,New England Patriots,nwe,2011,16,14,14,shoulder,3.0,16.0,0,1,0,0,0,0,0,0,DEF,myron pryor,DL,DL,28
Stevan Ridley,New England Patriots,nwe,2011,16,2,0,ankle,1.0,2.0,0,0,0,0,0,0,0,1,RB,stevan ridley,RB,RB,2
