player_id,season,player_name,team,position,position_group,race,race_source,confidence,notes
00-0018998,2000,Earl Riley,DAL,DB,DB,Other/Unknown,Not classified,Low,
00-0019124,2000,Earthwind Moreland,NYJ,DB,DB,Other/Unknown,Not classified,Low,
00-0017787,2000,Elijah Williams,ATL,DB,DB,Other/Unknown,Not classified,Low,
00-0010785,2000,Emmanuel McDaniel,NYG,DB,DB,Other/Unknown,Not classified,Low,
00-0000204,2000,Eric Allen,OAK,DB,DB,Other/Unknown,Not classified,Low,
00-0001931,2000,Eric Brown,DEN,DB,DB,Other/Unknown,Not classified,Low,
00-0003977,2000,Eric Davis,CAR,DB,DB,Other/Unknown,Not classified,Low,
00-0018982,2000,Eric Johnson,OAK,DB,DB,Other/Unknown,Not classified,Low,
00-0016824,2000,Eric Vance,TB,DB,DB,Other/Unknown,Not classified,Low,
00-0017193,2000,Eric Warfield,KC,DB,DB,Other/Unknown,Not classified,Low,
00-0018969,2000,Erik Olson,JAX,DB,DB,Other/Unknown,Not classified,Low,
00-0013860,2000,Eugene Robinson,CAR,DB,DB,Other/Unknown,Not classified,Low,
00-0001934,2000,Fakhir Brown,SD,DB,DB,Other/Unknown,Not classified,Low,
00-0002138,2000,Fernando Bryant,JAX,DB,DB,Other/Unknown,Not classified,Low,
00-0018414,2000,Floyd Young,TB,DB,DB,Other/Unknown,Not classified,Low,
00-0015173,2000,Frankie Smith,CHI,DB,DB,Other/Unknown,Not classified,Low,
00-0016263,2000,Fred Thomas,NO,DB,DB,Other/Unknown,Not classified,Low,
00-0016929,2000,Fred Vinson,SEA,DB,DB,Other/Unknown,Not classified,Low,
00-0017341,2000,Fred Weary,NO,DB,DB,Other/Unknown,Not classified,Low,
00-0019672,2000,Gary Berry,GB,DB,DB,Other/Unknown,Not classified,Low,
00-0003187,2000,George Coghill,DEN,DB,DB,Other/Unknown,Not classified,Low,
00-0010765,2000,George McCullough,TEN,DB,DB,Other/Unknown,Not classified,Low,
00-0016157,2000,George Teague,DAL,DB,DB,Other/Unknown,Not classified,Low,
00-0010646,2000,Gerald McBurrows,ATL,DB,DB,Other/Unknown,Not classified,Low,
00-0008126,2000,Greg Jackson,SD,DB,DB,Other/Unknown,Not classified,Low,
00-0008323,2000,Greg Jeffries,MIA,DB,DB,Other/Unknown,Not classified,Low,
00-0011885,2000,Greg Myers,DAL,DB,DB,Other/Unknown,Not classified,Low,
00-0019463,2000,Greg Wesley,KC,DB,DB,Other/Unknown,Not classified,Low,
00-0019710,2000,Hank Poteat,PIT,DB,DB,Other/Unknown,Not classified,Low,
00-0008761,2000,Henry Jones,BUF,DB,DB,Other/Unknown,Not classified,Low,
00-0019654,2000,Ike Charlton,SEA,DB,DB,Other/Unknown,Not classified,Low,
00-0013536,2000,Izell Reese,DAL,DB,DB,Other/Unknown,Not classified,Low,
00-0001953,2000,J.B. Brown,DET,DB,DB,Other/Unknown,Not classified,Low,
00-0010700,2000,J.J. McCleskey,ARI,DB,DB,Other/Unknown,Not classified,Low,
00-0019657,2000,Jacoby Shepherd,STL,DB,DB,Other/Unknown,Not classified,Low,
00-0007095,2000,James Hasty,KC,DB,DB,Other/Unknown,Not classified,Low,
00-0016591,2000,James Trapp,BAL,DB,DB,Other/Unknown,Not classified,Low,
00-0001068,2000,Jason Belser,IND,DB,DB,Other/Unknown,Not classified,Low,
00-0001526,2000,Jason Bostic,PHI,DB,DB,Other/Unknown,Not classified,Low,
00-0003597,2000,Jason Craft,JAX,DB,DB,Other/Unknown,Not classified,Low,
00-0011570,2000,Jason Moore,SF,DB,DB,Other/Unknown,Not classified,Low,
